year,agegrp,sex,dimd,population_size,clbr,population_size_calibrated
2013,95-99,men,10 least deprived,2571,21674,2100.42894712559
2013,<1,women,1 most deprived,45023,329240,44860.8165532742
2013,<1,women,2,42390,329240,42237.3012392176
2013,<1,women,3,39088,329240,38947.1958206779
2013,<1,women,4,35633,329240,35504.6415441623
2013,<1,women,5,32077,329240,31961.4510934273
2013,<1,women,6,30389,329240,30279.5316668692
2013,<1,women,7,27779,329240,27678.9335013972
2013,<1,women,8,27250,329240,27151.8390839509
2013,<1,women,9,26014,329240,25920.2914469688
2013,<1,women,10 least deprived,23597,329240,23511.9980500547
2013,01-04,women,1 most deprived,178501,1336070,177607.740151339
2013,01-04,women,2,164560,1336070,163736.504105324
2013,01-04,women,3,150762,1336070,150007.552454587
2013,01-04,women,4,137989,1336070,137298.471469309
2013,01-04,women,5,126764,1336070,126129.643937818
2013,01-04,women,6,122797,1336070,122182.495713548
2013,01-04,women,7,115212,1336070,114635.45278915
2013,01-04,women,8,115606,1336070,115027.481122995
2013,01-04,women,9,113075,1336070,112509.146826139
2013,01-04,women,10 least deprived,110804,1336070,110249.51142979
2013,05-09,women,1 most deprived,195249,1555935,195065.413097591
2013,05-09,women,2,180846,1555935,180675.955815635
2013,05-09,women,3,164599,1555935,164444.232392741
2013,05-09,women,4,152028,1555935,151885.052534971
2013,05-09,women,5,144385,1555935,144249.239023481
2013,05-09,women,6,143137,1555935,143002.412481241
2013,05-09,women,7,138916,1555935,138785.381363617
2013,05-09,women,8,141746,1555935,141612.720397703
2013,05-09,women,9,143896,1555935,143760.698815825
2013,05-09,women,10 least deprived,151133,1555935,150990.894077195
2013,10-14,women,1 most deprived,169979,1452668,169694.895846814
2013,10-14,women,2,159169,1452668,158902.963760474
2013,10-14,women,3,145487,1452668,145243.831956097
2013,10-14,women,4,137225,1452668,136995.641123781
2013,10-14,women,5,135130,1452668,134904.142722219
2013,10-14,women,6,135203,1452668,134977.020709481
2013,10-14,women,7,135649,1452668,135422.275261794
2013,10-14,women,8,137966,1452668,137735.40261092
2013,10-14,women,9,142974,1452668,142735.032202816
2013,10-14,women,10 least deprived,153886,1452668,153628.793805605
2013,15-19,women,1 most deprived,178007,1584088,178659.656074663
2013,15-19,women,2,172470,1584088,173102.354869174
2013,15-19,women,3,164890,1584088,165494.563079829
2013,15-19,women,4,158817,1584088,159399.296650186
2013,15-19,women,5,152231,1584088,152789.149325038
2013,15-19,women,6,147978,1584088,148520.555858008
2013,15-19,women,7,149167,1584088,149713.915282484
2013,15-19,women,8,148728,1584088,149273.305705239
2013,15-19,women,9,155865,1584088,156436.473251486
2013,15-19,women,10 least deprived,155935,1584088,156506.729903894
2013,20-24,women,1 most deprived,212898,1774376,216694.196421728
2013,20-24,women,2,222277,1774376,226240.433907469
2013,20-24,women,3,225575,1774376,229597.240734207
2013,20-24,women,4,214752,1774376,218581.255201829
2013,20-24,women,5,184076,1774376,187358.269690302
2013,20-24,women,6,162080,1774376,164970.057755515
2013,20-24,women,7,154000,1774376,156745.982813113
2013,20-24,women,8,146900,1774376,149519.382306794
2013,20-24,women,9,134789,1774376,137192.430372706
2013,20-24,women,10 least deprived,117029,1774376,119115.750796336
2013,25-29,women,1 most deprived,227750,1844708,228846.583036448
2013,25-29,women,2,241543,1844708,242705.994319968
2013,25-29,women,3,240229,1844708,241385.667601593
2013,25-29,women,4,218518,1844708,219570.132302782
2013,25-29,women,5,192590,1844708,193517.29276395
2013,25-29,women,6,177395,1844708,178249.131054888
2013,25-29,women,7,157243,1844708,158000.102113722
2013,25-29,women,8,150330,1844708,151053.817026868
2013,25-29,women,9,132432,1844708,133069.640766994
2013,25-29,women,10 least deprived,106678,1844708,107191.639012787
2013,30-34,women,1 most deprived,206485,1850268,208391.529075788
2013,30-34,women,2,222358,1850268,224411.088564467
2013,30-34,women,3,223884,1850268,225951.17851468
2013,30-34,women,4,210525,1850268,212468.831434149
2013,30-34,women,5,192115,1850268,193888.84717241
