year,age,sex,pops
7,52,men,301827
7,52,women,307297
7,53,men,303051
7,53,women,308993
7,54,men,301194
7,54,women,305585
7,55,men,294749
7,55,women,301354
7,56,men,296767
7,56,women,303561
7,57,men,302879
7,57,women,312712
7,58,men,312834
7,58,women,321356
7,59,men,332685
7,59,women,342186
7,60,men,357094
7,60,women,367027
7,61,men,281085
7,61,women,290511
7,62,men,273488
7,62,women,283686
7,63,men,270581
7,63,women,280710
7,64,men,253817
7,64,women,265915
7,65,men,226897
7,65,women,239978
7,66,men,207576
7,66,women,221056
7,67,men,216402
7,67,women,231801
7,68,men,215074
7,68,women,232286
7,69,men,210986
7,69,women,228365
7,70,men,202198
7,70,women,221444
7,71,men,193355
7,71,women,214685
7,72,men,184669
7,72,women,207888
7,73,men,172336
7,73,women,198331
7,74,men,166327
7,74,women,195013
7,75,men,162815
7,75,women,195144
7,76,men,155884
7,76,women,193739
7,77,men,146015
7,77,women,187779
7,78,men,134555
7,78,women,177369
7,79,men,123770
7,79,women,167607
7,80,men,115676
7,80,women,161330
7,81,men,106199
7,81,women,154701
7,82,men,95382
7,82,women,146246
7,83,men,85365
7,83,women,138704
7,84,men,76362
7,84,women,131025
7,85,men,69928
7,85,women,125799
7,86,men,61541
7,86,women,121020
7,87,men,51389
7,87,women,104704
7,88,men,36742
7,88,women,76449
7,89,men,23318
7,89,women,54369
7,90,men,22307
7,90,women,53089
7,91,men,18678
7,91,women,48029
7,92,men,14988
7,92,women,41820
7,93,men,11079
7,93,women,34260
7,94,men,8059
7,94,women,26720
7,95,men,5559
7,95,women,19650
7,96,men,3670
7,96,women,14080
7,97,men,2370
7,97,women,10280
7,98,men,1410
7,98,women,7240
7,99,men,2030
7,99,women,12260
8,30,men,329818
8,30,women,328302
8,31,men,324964
8,31,women,322944
8,32,men,330239
8,32,women,331645
8,33,men,336863
8,33,women,339864
8,34,men,344399
8,34,women,345867
8,35,men,359581
8,35,women,361547
8,36,men,374635
8,36,women,378499
8,37,men,385738
8,37,women,390977
8,38,men,380669
8,38,women,382203
8,39,men,387844
8,39,women,392839
8,40,men,389414
8,40,women,392144
8,41,men,397003
8,41,women,398173
8,42,men,393904
8,42,women,400321
8,43,men,393908
8,43,women,402409
8,44,men,389800
8,44,women,398396
8,45,men,382005
8,45,women,390990
8,46,men,373499
8,46,women,381198
8,47,men,362949
8,47,women,368102
8,48,men,349448
8,48,women,353730
8,49,men,342653
8,49,women,345946
8,50,men,336747
8,50,women,339103
8,51,men,323465
8,51,women,327081
8,52,men,312205
8,52,women,316233
8,53,men,301483
8,53,women,306310
8,54,men,302634
8,54,women,308088
8,55,men,299318
8,55,women,303763
8,56,men,292206
8,56,women,299020
8,57,men,294401
8,57,women,301376
8,58,men,300281
8,58,women,310572
8,59,men,309909
8,59,women,318848
8,60,men,329582
8,60,women,339989
8,61,men,355055
8,61,women,365799
8,62,men,277888
8,62,women,288234
8,63,men,270322
8,63,women,281392
8,64,men,267984
8,64,women,279034
8,65,men,250781
8,65,women,263977
8,66,men,223944
8,66,women,238021
8,67,men,203960
8,67,women,218704
8,68,men,212655
8,68,women,229230
8,69,men,211067
8,69,women,229526
8,70,men,206615
8,70,women,225278
8,71,men,197537
8,71,women,218023
8,72,men,188410
8,72,women,211182
8,73,men,179546
8,73,women,204162
8,74,men,166958
8,74,women,194272
8,75,men,160330
8,75,women,190292
8,76,men,156386
8,76,women,190072
8,77,men,148994
8,77,women,187969
8,78,men,138858
8,78,women,181459
8,79,men,127148
8,79,women,170694
8,80,men,116061
8,80,women,160404
8,81,men,107716
8,81,women,153254
8,82,men,97959
8,82,women,146020
8,83,men,87254
8,83,women,137198
8,84,men,77391
8,84,women,129060
8,85,men,68248
8,85,women,121077
8,86,men,61786
8,86,women,114890
8,87,men,53358
8,87,women,109240
8,88,men,43171
8,88,women,92323
8,89,men,31900
8,89,women,68272
8,90,men,20180
8,90,women,47593
8,91,men,17870
8,91,women,45013
8,92,men,14720
8,92,women,39963
8,93,men,11540
8,93,women,33752
8,94,men,8400
8,94,women,27032
8,95,men,5830
8,95,women,20581
8,96,men,3890
8,96,women,14691
8,97,men,2500
8,97,women,10321
8,98,men,1520
8,98,women,7230
8,99,men,2020
8,99,women,12700
9,30,men,355252
