year,age,sex,dimd,pop_size
2002,51,women,9,34837
2002,51,women,10 least deprived,36404
2002,52,men,1 most deprived,26511
2002,52,men,2,26270
2002,52,men,3,27526
2002,52,men,4,29830
2002,52,men,5,31256
2002,52,men,6,32225
2002,52,men,7,34228
2002,52,men,8,34164
2002,52,men,9,34886
2002,52,men,10 least deprived,36566
2002,52,women,1 most deprived,25875
2002,52,women,2,26604
2002,52,women,3,27953
2002,52,women,4,30034
2002,52,women,5,32119
2002,52,women,6,33651
2002,52,women,7,34839
2002,52,women,8,35406
2002,52,women,9,36165
2002,52,women,10 least deprived,38098
2002,53,men,1 most deprived,26431
2002,53,men,2,26482
2002,53,men,3,28154
2002,53,men,4,30038
2002,53,men,5,32652
2002,53,men,6,34168
2002,53,men,7,35565
2002,53,men,8,36374
2002,53,men,9,36549
2002,53,men,10 least deprived,37847
2002,53,women,1 most deprived,26179
2002,53,women,2,26907
2002,53,women,3,28442
